,Unnamed: 0,reviews,label,new_label,new_star
0,0,﻿좋다 가격 구매 수납 공간 조금 많이 작다 정도 그냥 없다 모델 살 걸 그렇다 라이트 불 단계 조절 걸 알 설명 서 가다 없다 상품 페이지 보고 알다 매트리스 진짜 끝내주다 매트 별 배송 설치다 빨리 잘 해주다 기다리다 시간 너무 오래 걸리다 설치다 받다,0,0,1
1,1,침대 프레임 정말 실망 기존 싸다 제품 비교 상품 설명 보고 수납 달리 홀 뚫리다 들어오다 리기 좋다 그런데 홀 들다 올리다 끌다 옆 놓다 밑 엔 받침 없다 그냥 방바닥 바닥 누가 이불 이며 계절 옷 수납 합 황당하다,0,0,3
2,2,별로 사진 처럼 침대 하단 부 시트 지 가다 조금 벗겨지다 기사 설치 그렇다 건 지원 문제 모르다 새 제품 사용 전 하자 기분 좋다 않다 배 송도 오래 걸리다 귀찮다 교환 이나 반품 건 아니다 엔 더 신경 쓰시 라고 적다,0,0,1
3,3,설치 기사 가다 프레임 헤드 쪽 깨다 못 보신 건지다 말씀 안 해주다 속상하다 누우 면 보 신경 쓰이다 곳 고요 교환 기다리다 하니 오래 걸리다 같다 속상하다 마음,0,0,1
4,4,월일 설치 달 사용 서랍 장이 분리 버리다 서랍 장이 톱밥 뭉치다 합판 너무 약하다 같다 ㅠㅠ 월일 신청 월일 똑같다 서랍 장 교체 받다 젠 서랍 장 사용 안 쪽 침대 만 사용 방향 같다 기사 팁 알다 살살 조심 히 사용 신청 시 찍다 올리다 사진 첨부,0,0,1
5,5,보통 넉넉하다 수납 공간 구매 서랍 서랍 자체 밑바닥 바퀴 달다 서랍 뒷 면 뚜껑 식이 며 손가락 끼우다 열 수 동그랗다 구멍 만 판이 서랍 뒤 칸 바닥 면 없다 프레임 이라는 글 나중 확인 구매 꼭 참고,0,0,2
6,6,배송 기사 배송 날짜 시간 정 불친절 전화 침대 설치 중 벗겨지다 본사 전화하다 불량 상품 교환 접수 본인 배송 설치 만 뿐 책임 없다 생각 보다 침대 프레임 너무 허다 술 프레임 서랍 칸막이 만 바닥 없다 헐다 쓰다 매트리스 만 바꾸다 걸 괜히 전체 바꾸다 후 회 박심,0,0,1
7,7,별로 배 송도 주 걸리다 일자 시간 지정 안 불편하다 설치 후 냄새 너무나 걸 살 걸 후회,0,0,1
8,8,보통 기사 이전 침대 그대로 두다 갈다 너무 힘들다 냄새 심하다 서랍 한쪽 만 쓸다 수,0,0,2
9,9,옷 수납 서랍 낮다 좁다 오늘 깜놀 건 철 지난 옷 넣다 뚜껑 열다 더 그렇다 뚜껑 만 맨 바닥 뚜껑 앞 너무 무안하다 매트리스 누우 면 매트리스 돗자리 마냥 휩니,0,0,2
10,10,딸아이 독립 용 주다 사진 잘못 보다 헤드 부분 뚫리다 그래도 깔끔하다 좋다,0,0,3
11,11,받다 보다 나무 정말 얇다 허다 접 디자인 되게 없다 보이다 냄새 정말 말고 못 지경 후회되다,0,0,1
12,12,매트리스 선택 수 중 가장 가격 높다 품질 그냥 쏘다 쏘다 해,0,0,3
13,13,보통 헤드 램프 랑 핸드폰 충전기 좋다 서랍 안 닫히다,0,0,3
14,14,보통 배 송이 너무 느리다 별 점 빼다 주 기다리다,0,0,2
15,15,받다 튼튼하다 사용 해보다 알 같다,0,0,4
16,16,사용 달 넘다 이렇게 벗겨지다 연락 줄다,0,0,2
17,17,저렴하다 가격 무난 사용 좋다,0,0,4
18,18,보통 깔끔하다 비슷하다 회사 제품 사용 비교 매트리스 너무 통통 튀다 불편하다,0,0,4
19,19,매트리스 견고하다 탄탄하다 좋다,0,0,5
20,20,제품 광고 내용 동일하다 좋다 설치 기사 꼼꼼하다 해주다 감사하다,0,0,5
21,21,쓸다 오늘 에서야 오다 너무 늦다,0,0,3
22,22,그냥 가격 정도,0,0,3
23,23,보통 그냥 쓰기 부담 없다 같다 집 추천,0,0,2
24,24,사용,0,0,3
25,25,서랍 식이 프레임 조립 많다 견고하다 않다 보통,0,0,4
26,26,침대 배송 빠르다 친절하다 설치 주다 사용 수납 공간 넓다 좋다,0,0,5
27,27,누울 마다 삐 꺼 덕 삐 꺼 덕 소리 비니 너무 거슬리다 부부 생활 마다 시끄럽다 프레임 진짜 거지 같다,0,0,1
28,28,배송 연락 안 불편하다 배송 너무 느리다 상품 만족하다,0,0,3
29,29,만 원 넘다 금액 주다 얼마나 약하다 만들다 기선 힘주다 안 에서만 힘주다 요구 사항 많다 만 원 넘다 침대 서랍 벙커 부분 맨 밑바닥 깔다 판 방바닥 닿다 부분 깔다 판이 벙커 부분 만 없다 서랍 부분 배송 오다 조립 후 퇴근 후보 니 벙커 서랍 부분 쪽 밑 판이 아예 통 없다 문의 글 벙커 부분 만 없다 비싸다 이유 모르다 답 오다 보고 소비자 불만 같다 업체 랑 상담 해보다,0,0,1
30,30,빠르다 배송 맘 들다 기사 혼자 오다 열심히 빠르다 배송 맘 들다 기사 혼자 오다 열심히 설치 주다 만족하다 냄새 조금 오래 가다 환기 그게 조금 아쉽다 그래도 가격 대비 침대 좋다 같다 쓰다,0,0,5
31,31,저렴하다 가격 구매 같다 수납 많다 좋다 매트리스 스프링 약하다 느낌 배송 조금 오래 걸리다,0,0,2
32,32,화면 같다 매트 딱딱하다 괜찮다 같다 수납 장도 활용 도도 좋다,0,0,5
33,33,서랍 불량 주 후 배송 받다 방 사서 팝 불량 주 후 배송 받다 방 사용 중 쓸다 만 ㅡ,0,0,2
34,34,좋다 배송 관련 미리 연락 주시 당일 시간 맞추다 설치 딸아이 너무 좋아하다 수납 공간 아주 맘 듭니,0,0,4
35,35,좋다 배송 관련 미리 연락 주시 당일 시간 맞추다 설치 딸아이 너무 좋아하다 수납 공간 아주 맘 듭니,0,0,4
36,36,침대 수납 장 바닥 없다 깜놀 ㅠ 서랍 말고는 사용 안 듯,0,0,2
37,37,짐 옮기다 지다 모르다,0,0,3
38,38,가격 저렴하다 이해 방금 스퀘어 가격 저렴하다 이해 방금 스퀘어 사이트 배송비 포함 만 원 롯데 카드 할인 원 해주다 왠지 눈퉁 맞다 느끼다 만 원 살 수 제품 만 원 ㅜㅜ,0,0,4
39,39,배송 걸리다 서랍 불량 이라서 배송 기사 바꾸다 주다 갖다 가다 지금 서랍,0,0,2
40,40,디자인 뻐 그런데 못 가부 서질 같다 매트리스 밑 깔다 나무 통판 어긋나다 무릎 살짝 밀다 매트 랑 통판 뒤 훅 밀리다 통판 위아래 개 일부러 그렇다 고정 않다 밀리다 뒤지다 어보 니 밀리 지 말 라고 동그랗다 혹 같다 그렇다 침대 앉다 살살 앉다 ㅠㅠ 통판 두껍다 튼튼하다 줄 알다 침대 직 사각형 프레임 위 그냥 나무 통판 개 따로 얹히다 같다 반품 만 새롭다 사고,0,0,1
41,41,보통 황금 연휴 끼다 만에 배송 받다 ㅜ 그래도 배송 기사 친절하다 설치 해주다 가다 침대 풀다 ㅣ 임 생각 보다 괜찮다 매트리스 너무 딱딱하다 놀래다 위 메모리 폼 매트리스 끄다 좋다 매트 니스 너무 푹신하다 좋아하다 않다 쿠션 없다 보다,0,0,4
42,42,동서 침대 편백 디자인 맘 들어서다 구매 맘 고생 많이 제품 배송 달 만에 도착 수가 많이 분노하다 그나마 제품 그냥 쓸다 만 정도 정도 마무리 배송 개선 꼭 필요하다 회사,0,0,2
43,43,끄다 대신 주문 드리다 배송 기사 분 깨다 엘리베이터 충분하다 이동 가능하다 사다리 차 유도 들다 양심 적 장사,0,0,3
44,44,수납 침대 매트리스 너무 저렴하다 물건 택했 보다 매트리스 돈 더 주다 좋다 같다,0,0,5
45,45,보통 가격 대 인 같다 사진 처럼 고급스럽다 않다 같다 보다 다르다 전 그냥 그렇다,0,0,2
46,46,솔직하다 마감 별로 고산 맛 신 동서 이용 안 같다,0,0,1
47,47,생각 보다 배송 너무 늦다 그리고 프레임 약하다 같다,0,0,2
48,48,생각 보다 위트 상 판이 흔들리다 고정 안되다 디자인 좋다 마음 들다 견고하다 아쉽다,0,0,3
49,49,그냥 가격 정도 조금 마감 쉬다 별로 안 튼튼하다 같다,0,0,1
50,50,배송 받다 흠집 생각 보다 부실하다,0,0,1
51,51,배송 느리다 제품 완벽하다 않다 전체 적 괜찮다,0,0,3
52,52,새 제품 그렇다 냄새 나요,0,0,2
53,53,배송 너무 느리다,0,0,3
54,54,타 사가 구점 배송 지정 수 곳 많다 구매 보다 배송 인 일정 맞추다 시대 뒤 떨어지다 부분 바꾸다,0,0,3
55,55,별로 주문 일만 받다 ㅡ 배송 비 오다 주다 미루다 배송 당일 연락 오다,0,0,3
56,56,배송 늘리다 너무 늘리다 받다 않다 걸 억지로 아서 그렇다 별로 네오 짜증 나요,0,0,1
57,57,썻씁 니 감사하다,0,0,4
58,58,감사하다,0,0,3
59,59,그저 그렇다 그저 그렇다,0,0,2
