이름,점수,어근
조립 힘들다,-1,조립 힘들다
조립 힘겹다,-2,조립 힘겹다
얼룩 가득하다,-2,얼룩 가득하다
자국 가득하다,-2,자국 가득하다
기스 가득하다,-2,기스 가득하다
스크래치 가득하다,-2,스크래치 가득하다
냄새 가득하다,-2,냄새 가득하다
흠집 가득하다,-2,흠집 가득하다
품질 실망,-2,품질 실망
구성 실망,-2,구성 실망
마감 실망,-2,마감 실망
끄다 떡,-2,끄다 떡
마감 엉망,-2,마감 엉망
마감 개판,-2,마감 개판
무게 나가다,-1,무게 나가다
삐 덕,-2,삐 덕
삐 걱,-2,삐 걱
손 가다,-1,손 가다
안 닫히다,-2,안 닫히다
안 뜨다,1,안 뜨다
안 맞다,-2,안 맞다
안 불편하다,1,안 불편하다
안 빠지다,-1,안 빠지다
안 튼튼하다,-2,안 튼튼하다
자세하다 들여다보다,-1,자세하다 들여다보다
자세하다 보다,-1,자세하다 보다
자세하다 살펴보다,-1,자세하다 살펴보다
상판 나가다,-2,상판 나가다
장판 나가다,-2,장판 나가다
폭 신한,2,폭 신한
폭 신해,2,폭 신해
폭 신하,2,폭 신하
푹 신한,2,푹 신한
푹 신해,2,푹 신해
푹 신하,2,푹 신하
허 접한,-2,허 접한
별개 필요하다,-1,별개 필요하다
별도 필요하다,-1,별도 필요하다
때문 청소,-1,때문 청소
필요하다 토퍼,-1,필요하다 토퍼
적응 필요하다,-1,적응 필요하다
공구 필요하다,-1,공구 필요하다
연장 필요하다,-1,연장 필요하다
허다 술,-2,허다 술
허다 접,-2,허다 접
냄새 적다,1,냄새 적다
안 열리다,-2,안 열리다
힘 주다,-1,힘 주다
안 닦이다,-2,안 닦이다
엄청 푹,2,엄청 푹
너무 딱딱하다,-1,너무 딱딱하다
딱딱하다 배겨,-2,딱딱하다 배겨
쓰기 무리다,-2,쓰기 무리다
완성 높다,2,완성 높다
용도 높다,2,용도 높다
티 높다,2,티 높다
티 만족하다,2,티 만족하다
구성 만족하다,2,구성 만족하다
품질 만족하다,2,품질 만족하다
품질 신경,-2,품질 신경
강 추,2,강 추
안 지워지다,-2,안 지워지다
조립 열,-2,조립 열
허다 접다,-2,허다 접다
흠집 없다,1,흠집 없다
튼튼하다,2,튼튼하다
얼룩 없다,1,얼룩 없다
기스 없다,1,기스 없다
스크래치 없다,1,스크래치 없다
소음 없다,2,소음 없다
자국 없다,1,자국 없다
질 떨어지다,-2,질 떨어지다
질 좋다,2,질 좋다
품질 괜찮다,1,품질 괜찮다
침대 아니다,-1,침대 아니다
소파 아니다,-1,소파 아니다
식탁 아니다,-1,식탁 아니다
옷장 아니다,-1,옷장 아니다
서랍장 아니다,-1,서랍장 아니다
책상 아니다,-1,책상 아니다
냄새 조금,-1,냄새 조금
기스 조금,-1,기스 조금
마감 조금,-1,마감 조금
스크래치 조금,-1,스크래치 조금
소음 조금,-1,소음 조금
흠집 조금,-1,흠집 조금
쓸모 있다,2,쓸모 있다
쓸모 없다,-2,쓸모 없다
흠집 아쉽다,-1,흠집 아쉽다
냄새 아쉽다,-1,냄새 아쉽다
마감 아쉽다,-1,마감 아쉽다
스크래치 아쉽다,-1,스크래치 아쉽다
조립 아쉽다,-1,조립 아쉽다
소음 아쉽다,-1,소음 아쉽다
품질 아쉽다,-1,품질 아쉽다
흠집 많다,-2,흠집 많다
스크래치 많다,-2,스크래치 많다
기스 많다,-2,기스 많다
자국 많다,-2,자국 많다
얼룩 많다,-2,얼룩 많다
냄새 빼다,-2,냄새 빼다
마감 별로,-1,마감 별로
품질 별로,-2,품질 별로
품질 원하다,-1,품질 원하다
품질 만족스럽다,2,품질 만족스럽다
마감 만족스럽다,2,마감 만족스럽다
구성 만족스럽다,2,구성 만족스럽다
품질 문제,-2,품질 문제
구성 문제,-2,구성 문제
냄새 너무하다,-2,냄새 너무하다
품질 너무하다,-2,품질 너무하다
냄새 심하다,-2,냄새 심하다
흠집 심하다,-2,흠집 심하다
스크래치 심하다,-2,스크래치 심하다
기스 심하다,-2,기스 심하다
소음 심하다,-2,소음 심하다
자국 심하다,-2,자국 심하다
얼룩 심하다,-2,얼룩 심하다
품질 최악,-2,품질 최악
마감 최악,-2,마감 최악
구성 최악,-2,구성 최악
마감 나쁘다,-1,마감 나쁘다
구성 나쁘다,-1,구성 나쁘다
품질 나쁘다,-1,품질 나쁘다
얼룩 묻다,-1,얼룩 묻다
자국 묻다,-1,자국 묻다
먼지 묻다,-1,먼지 묻다
구성 만족도,2,구성 만족도
품질 만족도,2,품질 만족도
많이 들어가다,2,많이 들어가다
냄새 이상하다,-1,냄새 이상하다
힘없다,-1,힘없다
관리 쉬다,1,관리 쉬다
얼룩 신경,-1,얼룩 신경
퀼리 떨어지다,-2,퀼리 떨어지다
퀄리티 떨어지다,-2,퀄리티 떨어지다
티 떨어지다,-2,티 떨어지다
금 가다,-2,금 가다
티 뛰어나다,2,티 뛰어나다
퀄리티 뛰어나다,2,퀄리티 뛰어나다
구성 뛰어나다,2,구성 뛰어나다
품질 뛰어나다,2,품질 뛰어나다
성비 뛰어나다,2,성비 뛰어나다
품질 개판,-2,품질 개판
조립 불편,-1,조립 불편
침대 불편하다,-2,침대 불편하다
옷장 불편하다,-2,옷장 불편하다
소파 불편하다,-2,소파 불편하다
쇼파 불편하다,-2,쇼파 불편하다
식탁 불편하다,-2,식탁 불편하다
책상 불편하다,-2,책상 불편하다
서랍장 불편하다,-2,서랍장 불편하다
제품 불편하다,-2,제품 불편하다
상품 불편하다,-2,상품 불편하다
제품 완벽하다,2,제품 완벽하다
상품 완벽하다,2,상품 완벽하다
조립 번거롭다,-1,조립 번거롭다
설치 번거롭다,-1,설치 번거롭다
하자 없다,1,하자 없다
