이름,점수,어근
구성 기대 마시기,-2,구성 기대 마시기
구성 기대 이하,-2,구성 기대 이하
구성 기대 달리,-2,구성 기대 달리
구성 기대 말고,-2,구성 기대 말고
품질 개 비축,-2,품질 개 비축
구성 개 비축,-2,구성 개 비축
내 구성 별로,-2,내 구성 별로
내 구성 좋다,2,내 구성 좋다
내 구성 떨어지다,-2,내 구성 떨어지다
내 구성 좋다 않다,-2,내 구성 좋다 않다
내 구성 약하다,-2,내 구성 약하다
내 구성 아쉽다,-1,내 구성 아쉽다
품질 문제 없다,1,품질 문제 없다
구성 문제 없다,1,구성 문제 없다
구성 맘 들어서다,2,구성 맘 들어서다
구성 맘 들다,2,구성 맘 들다
구성 맘 듭니,2,구성 맘 듭니
구성 맘 드네,2,구성 맘 드네
구성 마음 들다,2,구성 마음 들다
구성 마음 듭니,2,구성 마음 듭니
구성 마음 들어서다,2,구성 마음 들어서다
구성 마음 드네,2,구성 마음 드네
내 구성 괜찮다,1,내 구성 괜찮다
내 구성 틀어지다,-2,내 구성 틀어지다
내 구성 개판,-2,내 구성 개판
인조 가죽 냄새,-1,인조 가죽 냄새
